Key,Value
Density,0.882399
Density_unit,g/cm^3
Estimated_saturation_loading,17.8061902
Estimated_saturation_loading_unit,mol/kg
Input_block,"[1.655, 100]"
Input_ha,DEF
Input_structure_filename,file.txt.cif
Input_volpo,"[1.655, 1.655, 10000]"
Number_of_blocking_spheres,2
POAV_A^3,3155.51
POAV_A^3_unit,A^3
POAV_Volume_fraction,0.5552
POAV_Volume_fraction_unit,
POAV_cm^3/g,0.629194
POAV_cm^3/g_unit,cm^3/g
PONAV_A^3,0.0
PONAV_A^3_unit,A^3
PONAV_Volume_fraction,0.0
PONAV_Volume_fraction_unit,
PONAV_cm^3/g,0.0
PONAV_cm^3/g_unit,cm^3/g
Unitcell_volume,5683.56
Unitcell_volume_unit,A^3
adsorption_energy_widom_average,-11.236311662
adsorption_energy_widom_dev,0.0218899554
adsorption_energy_widom_unit,kJ/mol
conversion_factor_molec_uc_to_cm3stp_cm3,6.5485801117
conversion_factor_molec_uc_to_mg_g,9.2753928316
conversion_factor_molec_uc_to_mol_kg,0.3311046265
henry_coefficient_average,4.38822e-06
henry_coefficient_dev,1.35842e-08
henry_coefficient_unit,mol/kg/Pa
is_kh_enough,True
is_porous,True
isotherm,"{'pressure': [0.2, 0.8, 1.4, 2.0, 2.6, 3.2, 3.8, 4.4, 5.0, 5.6, 6.2, 6.8, 7.4, 8.0, 8.6, 9.2, 9.8, 10.2], 'pressure_unit': 'bar', 'loading_absolute_dev': [0.0062018291754318, 0.016611555731677, 0.040071300476193, 0.035631842492221, 0.055179348440848, 0.028156384803634, 0.065875393584051, 0.045839710616263, 0.059779622220167, 0.06637544126695, 0.036084047443886, 0.018426426144284, 0.014475976053423, 0.043940671553413, 0.035795212627319, 0.036876405250622, 0.039023844368167, 0.092747934965697], 'loading_absolute_unit': 'mol/kg', 'loading_absolute_average': [0.088587042820075, 0.3432892767552, 0.57008766829204, 0.804584242395, 0.98737055145433, 1.1968356157939, 1.3941905284192, 1.544983852943, 1.7363788822913, 1.8970142918378, 2.0906111669523, 2.2539533568204, 2.3947638768552, 2.546881619885, 2.6466268886181, 2.8144555461753, 2.9549432391992, 2.9998658593996], 'enthalpy_of_adsorption_dev': [0.20684439566653, 0.44234127360255, 0.19946699591762, 0.84090830859794, 0.60396732433713, 0.4484560125714, 0.35027366906953, 0.45601165681408, 0.58842630515577, 0.75946953181512, 0.53464451705703, 0.47557337889634, 0.30076240719031, 0.61239410341473, 0.65653360272048, 0.54423288684909, 0.66553389372511, 0.81686323613779], 'enthalpy_of_adsorption_unit': 'kJ/mol', 'enthalpy_of_adsorption_average': [-13.761202431136, -13.872916864134, -13.815844370723, -13.816820566544, -13.94440888645, -13.691528605755, -13.615224530859, -13.605053004415, -13.724718265945, -13.926738586383, -13.724471826594, -13.826929651709, -13.935258037964, -13.671224547488, -13.565432058733, -14.021406051233, -13.954504502257, -13.907655749836]}"
temperature,298
temperature_unit,K
