Key,Value
Density,0.678215
Density_unit,g/cm^3
Estimated_saturation_loading,18.5582044
Estimated_saturation_loading_unit,mol/kg
Input_block,"[1.525, 100]"
Input_ha,DEF
Input_structure_filename,file.txt.cif
Input_volpo,"[1.525, 1.525, 10000]"
Number_of_blocking_spheres,0
POAV_A^3,8550.06
POAV_A^3_unit,A^3
POAV_Volume_fraction,0.5937
POAV_Volume_fraction_unit,
POAV_cm^3/g,0.875387
POAV_cm^3/g_unit,cm^3/g
PONAV_A^3,0.0
PONAV_A^3_unit,A^3
PONAV_Volume_fraction,0.0
PONAV_Volume_fraction_unit,
PONAV_cm^3/g,0.0
PONAV_cm^3/g_unit,cm^3/g
Unitcell_volume,14401.3
Unitcell_volume_unit,A^3
adsorption_energy_widom_average,-16.3926030806
adsorption_energy_widom_dev,0.0551452676
adsorption_energy_widom_unit,kJ/mol
conversion_factor_molec_uc_to_cm3stp_cm3,2.5844373369
conversion_factor_molec_uc_to_mg_g,7.480399531
conversion_factor_molec_uc_to_mol_kg,0.170013717
henry_coefficient_average,1.69925e-05
henry_coefficient_dev,1.39486e-07
henry_coefficient_unit,mol/kg/Pa
is_kh_enough,True
is_porous,True
isotherm,"{'pressure': [0.2, 0.8, 1.4, 2.0, 2.6, 3.2, 3.8, 4.4, 5.0, 5.6, 6.2, 6.8, 7.4, 8.0, 8.6, 9.2, 9.8, 10.2], 'pressure_unit': 'bar', 'loading_absolute_dev': [0.0283506220771, 0.01837718524601, 0.091817128938368, 0.10987798574445, 0.11520136238967, 0.17978441810102, 0.12874028027592, 0.23463156064611, 0.22607699937034, 0.25483752630428, 0.24222751926615, 0.3483959758894, 0.34865831193412, 0.29201646008279, 0.26925664241944, 0.20652576505403, 0.19611425007004, 0.093991747853374], 'loading_absolute_unit': 'mol/kg', 'loading_absolute_average': [0.34381023920325, 1.2877944014741, 2.3061255621889, 3.3303561988838, 4.403185256583, 5.4752237504982, 6.5658362429957, 7.6319327575017, 8.7108908096988, 9.6732619554632, 10.581364722761, 11.261904129855, 12.035976583356, 12.823361110898, 13.222451310183, 13.795703561164, 14.107763738718, 14.409334069932], 'enthalpy_of_adsorption_dev': [0.8286405843373, 0.9231837902106, 1.3420976278965, 0.45118105476707, 0.57941730064104, 0.53316734429174, 0.68960824125115, 0.3958732466971, 0.70936960913921, 0.99374720011973, 1.0392016495805, 0.84973600891306, 0.80128214146151, 1.7080965719654, 1.2906401935597, 0.88992245973743, 1.2202988201841, 1.4339120500861], 'enthalpy_of_adsorption_unit': 'kJ/mol', 'enthalpy_of_adsorption_average': [-18.099129480432, -17.724460352698, -18.104794924879, -18.447825031387, -18.901485703358, -18.711145144796, -19.224134261222, -20.160029599328, -20.679141453194, -21.060241201267, -21.792450591571, -21.808501159861, -22.224775635429, -23.187275032634, -23.365024818538, -23.460853973876, -24.674443640717, -24.040557648017]}"
temperature,298
temperature_unit,K
